Round,Timestamp,Bet,PlayerCards,DealerCards,PlayerTotal,DealerTotal,Outcome,MoneyChange,MoneyAfter,DoubleDown,PlayerBust,DealerBust
1,2025-08-06 11:49:39,5,"5 Hearts | J Spades | A Spades","8 Hearts | J Clubs",16,18,Dealer Win,-5,5,false,false,false
2,2025-08-06 11:49:39,5,"9 Hearts | 2 Diamonds | 9 Diamonds","A Clubs | 4 Spades | 4 Clubs",20,19,Player Win,5,15,false,false,false
3,2025-08-06 11:49:39,5,"8 Spades | K Spades","9 Clubs | 9 Diamonds",18,18,Tie,0,10,false,false,false
4,2025-08-06 11:49:59,5,"3 Hearts | 4 Hearts | K Diamonds","8 Spades | 7 Hearts | J Spades",17,25,Dealer Bust,5,15,false,false,true
